Disease,Symptoms,Precautions,Dietary Recommendations,Yoga & Exercises,Exercise Precautions
Bronchitis,"Nausea, Vomiting, Abdominal Pain, Diarrhea","Wear a Mask, Regular Checkups","High Fiber, Protein Rich, Hydrate Well","Pranayama, Deep Breathing, Strength Training","Stay Hydrated, Avoid Heavy Lifting"
Sinusitis,"Nausea, Fever, Shortness of Breath","Regular Checkups, Wear a Mask, Exercise Regularly","Avoid Processed Food, Vitamin D Rich, High Fiber, Low Sugar","Deep Breathing, Surya Namaskar","Rest When Tired, Gradual Warm-Up, Monitor Heart Rate"
Epilepsy,"Fatigue, Weakness, Dizziness, Shortness of Breath","Take Medications, Avoid Junk Food, Wear a Mask, Drink Water","Low Sugar, Avoid Processed Food, Hydrate Well","Stretching, Pranayama, Mild Cardio","Rest When Tired, Avoid Heavy Lifting, Stay Hydrated"
Parkinson's Disease,"Headache, Dizziness, Nausea, Vomiting, Chest Pain","Regular Checkups, Exercise Regularly, Drink Water, Wear a Mask","Low Sugar, Vitamin D Rich, Hydrate Well, Avoid Processed Food","Stretching, Strength Training","Gradual Warm-Up, Monitor Heart Rate"
Alzheimer's Disease,"Joint Pain, Headache, Vomiting, Chest Pain","Exercise Regularly, Regular Checkups, Wear a Mask, Rest","High Fiber, Balanced Diet, Hydrate Well, Vitamin D Rich","Mild Cardio, Strength Training","Rest When Tired, Avoid Heavy Lifting, Gradual Warm-Up"
Osteoporosis,"Fever, Shortness of Breath, Chest Pain, Blurred Vision","Regular Checkups, Drink Water, Wear a Mask","Vitamin D Rich, Avoid Processed Food, High Fiber, Hydrate Well","Deep Breathing, Mild Cardio, Strength Training","Gradual Warm-Up, Rest When Tired, Monitor Heart Rate"
Gastritis,"Dizziness, Fatigue, Shortness of Breath, Headache, Chest Pain","Rest, Exercise Regularly, Avoid Junk Food, Drink Water","Avoid Processed Food, High Fiber, Protein Rich","Mild Cardio, Deep Breathing, Strength Training","Gradual Warm-Up, Stay Hydrated, Monitor Heart Rate"
Ulcer,"Cough, Vomiting","Regular Checkups, Exercise Regularly","Balanced Diet, Hydrate Well","Deep Breathing, Pranayama","Stay Hydrated, Avoid Heavy Lifting"
HIV/AIDS,"Dizziness, Shortness of Breath","Take Medications, Rest, Wear a Mask","High Fiber, Protein Rich","Meditation, Deep Breathing","Stay Hydrated, Gradual Warm-Up, Rest When Tired"
Cancer,"Dizziness, Cough, Vomiting","Rest, Regular Checkups, Avoid Junk Food","Balanced Diet, Low Sugar, Avoid Processed Food","Stretching, Deep Breathing, Mild Cardio","Stay Hydrated, Rest When Tired, Avoid Heavy Lifting"
Stroke,"Dizziness, Chest Discomfort, Sweating, Swollen Lymph Nodes","Drink Water, Wear a Mask, Rest, Take Medications","Vitamin D Rich, Protein Rich, Balanced Diet, High Fiber","Stretching, Pranayama, Surya Namaskar","Gradual Warm-Up, Monitor Heart Rate, Avoid Heavy Lifting"
Heart Attack,"Joint Pain, Shortness of Breath, Cough, Fever","Take Medications, Wear a Mask","Vitamin D Rich, Protein Rich, Hydrate Well, Avoid Processed Food","Strength Training, Pranayama","Rest When Tired, Gradual Warm-Up, Avoid Heavy Lifting"
Obesity,"Headache, Blurred Vision, Sleep Disturbances, Loss of Appetite","Rest, Take Medications","Avoid Processed Food, Vitamin D Rich, Low Sugar, Balanced Diet","Pranayama, Meditation","Rest When Tired, Avoid Heavy Lifting"
Hypothyroidism,"Painful Urination, Cloudy Urine, Night Sweats","Take Medications, Regular Checkups","High Fiber, Low Sugar, Avoid Processed Food, Hydrate Well","Meditation, Deep Breathing","Rest When Tired, Avoid Heavy Lifting"
Hyperthyroidism,"Heart Palpitations, Dizziness, Chest Discomfort, Sweating","Rest, Drink Water, Avoid Junk Food, Take Medications","Protein Rich, Balanced Diet, High Fiber, Hydrate Well","Deep Breathing, Pranayama, Meditation","Gradual Warm-Up, Stay Hydrated, Avoid Heavy Lifting"
Anemia,"Heart Palpitations, Dizziness, Chest Discomfort, Sweating","Exercise Regularly, Regular Checkups, Take Medications","Hydrate Well, High Fiber","Meditation, Surya Namaskar","Rest When Tired, Gradual Warm-Up"
Chronic Kidney Disease,"Fatigue, Cough, Nausea, Joint Pain, Dizziness","Regular Checkups, Wear a Mask","Avoid Processed Food, Vitamin D Rich, Hydrate Well","Meditation, Surya Namaskar","Monitor Heart Rate, Rest When Tired"
Psoriasis,"Fever, Shortness of Breath, Chest Pain, Swollen Lymph Nodes","Avoid Junk Food, Drink Water, Take Medications","High Fiber, Hydrate Well","Strength Training, Meditation, Mild Cardio","Rest When Tired, Stay Hydrated"
Eczema,"Anxiety, Mood Swings, Irritability, Blurred Vision","Rest, Exercise Regularly, Wear a Mask, Take Medications","Avoid Processed Food, Protein Rich, Vitamin D Rich, Hydrate Well","Mild Cardio, Strength Training, Stretching","Stay Hydrated, Gradual Warm-Up"
Gout,"Fatigue, Dizziness, Headache","Wear a Mask, Exercise Regularly, Avoid Junk Food, Drink Water","Balanced Diet, High Fiber, Avoid Processed Food","Stretching, Meditation","Avoid Heavy Lifting, Monitor Heart Rate"
Vertigo,"Shortness of Breath, Joint Pain","Exercise Regularly, Drink Water, Regular Checkups, Wear a Mask","High Fiber, Protein Rich, Hydrate Well","Pranayama, Strength Training","Gradual Warm-Up, Avoid Heavy Lifting"
Depression,"Anxiety, Depression, Mood Swings, Weight Fluctuations","Avoid Junk Food, Exercise Regularly","Balanced Diet, Protein Rich, Vitamin D Rich, Low Sugar","Pranayama, Stretching, Strength Training","Avoid Heavy Lifting, Gradual Warm-Up"
Anxiety,"Vomiting, Shortness of Breath, Fever, Headache","Regular Checkups, Wear a Mask, Avoid Junk Food","Balanced Diet, Protein Rich, High Fiber, Hydrate Well","Stretching, Mild Cardio","Monitor Heart Rate, Avoid Heavy Lifting, Rest When Tired"
Schizophrenia,"Chronic Pain, Muscle Weakness, Joint Pain","Drink Water, Avoid Junk Food, Take Medications, Exercise Regularly","Protein Rich, Hydrate Well","Deep Breathing, Pranayama","Stay Hydrated, Gradual Warm-Up"
Bipolar Disorder,"Headache, Nausea, Blurred Vision, Sleep Disturbances","Regular Checkups, Avoid Junk Food","Protein Rich, Low Sugar, Vitamin D Rich, High Fiber","Meditation, Mild Cardio","Stay Hydrated, Avoid Heavy Lifting, Monitor Heart Rate"
Autism Spectrum Disorder,"Chest Pain, Cough, Shortness of Breath","Drink Water, Take Medications","Vitamin D Rich, Hydrate Well, Balanced Diet","Strength Training, Mild Cardio, Pranayama","Avoid Heavy Lifting, Stay Hydrated, Gradual Warm-Up"
Leukemia,"Joint Pain, Cough, Headache, Fatigue","Take Medications, Wear a Mask, Regular Checkups","Protein Rich, Avoid Processed Food, Hydrate Well","Stretching, Surya Namaskar, Mild Cardio","Stay Hydrated, Monitor Heart Rate, Avoid Heavy Lifting"
Lupus,"Cough, Fever, Shortness of Breath, Chest Pain","Drink Water, Regular Checkups, Take Medications","Avoid Processed Food, High Fiber, Balanced Diet","Stretching, Surya Namaskar, Pranayama","Avoid Heavy Lifting, Gradual Warm-Up"
Multiple Sclerosis,"Memory Loss, Confusion, Low Energy","Avoid Junk Food, Rest, Exercise Regularly, Drink Water","Protein Rich, Avoid Processed Food, Hydrate Well, High Fiber","Mild Cardio, Meditation","Monitor Heart Rate, Stay Hydrated, Gradual Warm-Up"
Hepatitis C,"Fever, Dizziness, Cough","Wear a Mask, Regular Checkups, Take Medications, Rest","Protein Rich, Balanced Diet, Low Sugar, High Fiber","Meditation, Strength Training, Surya Namaskar","Rest When Tired, Gradual Warm-Up"
Cirrhosis,"Nausea, Chest Pain","Take Medications, Drink Water","High Fiber, Vitamin D Rich, Protein Rich, Balanced Diet","Surya Namaskar, Deep Breathing, Strength Training","Gradual Warm-Up, Rest When Tired"
Celiac Disease,"Heart Palpitations, Dizziness, Chest Discomfort, Nausea","Avoid Junk Food, Exercise Regularly","Low Sugar, Balanced Diet, Hydrate Well, Protein Rich","Surya Namaskar, Stretching","Stay Hydrated, Rest When Tired"
Crohn's Disease,"Fever, Cough, Shortness of Breath, Joint Pain, Dizziness","Regular Checkups, Take Medications, Rest, Avoid Junk Food","Protein Rich, Balanced Diet, Low Sugar","Meditation, Mild Cardio, Deep Breathing","Stay Hydrated, Gradual Warm-Up"
Ulcerative Colitis,"Headache, Nausea, Blurred Vision, Sleep Disturbances","Regular Checkups, Exercise Regularly, Wear a Mask","Protein Rich, Vitamin D Rich, High Fiber","Strength Training, Pranayama, Stretching","Stay Hydrated, Gradual Warm-Up, Rest When Tired"
Dystonia,"Fever, Fatigue, Joint Pain, Vomiting","Avoid Junk Food, Exercise Regularly, Drink Water, Regular Checkups","Hydrate Well, High Fiber, Balanced Diet, Low Sugar","Deep Breathing, Strength Training, Pranayama","Gradual Warm-Up, Monitor Heart Rate"
Glaucoma,"Cough, Fatigue, Chest Pain, Dizziness","Drink Water, Take Medications, Wear a Mask","High Fiber, Vitamin D Rich, Avoid Processed Food","Strength Training, Deep Breathing","Monitor Heart Rate, Gradual Warm-Up"
Cataracts,"Dizziness, Fatigue, Cough, Vomiting","Avoid Junk Food, Drink Water, Rest, Take Medications","Avoid Processed Food, High Fiber, Protein Rich","Mild Cardio, Stretching, Surya Namaskar","Rest When Tired, Monitor Heart Rate"
Macular Degeneration,"Shortness of Breath, Headache, Fever","Exercise Regularly, Regular Checkups","Protein Rich, Vitamin D Rich, Balanced Diet","Mild Cardio, Strength Training","Stay Hydrated, Avoid Heavy Lifting, Rest When Tired"
Retinopathy,"Dizziness, Headache","Drink Water, Regular Checkups","Balanced Diet, Hydrate Well, Low Sugar, Vitamin D Rich","Stretching, Surya Namaskar","Monitor Heart Rate, Avoid Heavy Lifting"
Tinnitus,"Fatigue, Weakness, Dizziness, Shortness of Breath","Wear a Mask, Take Medications, Rest, Regular Checkups","Low Sugar, Protein Rich, High Fiber, Hydrate Well","Strength Training, Stretching","Gradual Warm-Up, Monitor Heart Rate, Rest When Tired"
Meniere's Disease,"Fever, Shortness of Breath, Vomiting, Joint Pain, Nausea","Rest, Drink Water, Wear a Mask","Balanced Diet, Avoid Processed Food, Vitamin D Rich","Mild Cardio, Meditation","Rest When Tired, Avoid Heavy Lifting, Gradual Warm-Up"
Sleep Apnea,"Cough, Shortness of Breath, Chest Pain, Low Energy","Regular Checkups, Avoid Junk Food","Protein Rich, Balanced Diet","Strength Training, Deep Breathing","Gradual Warm-Up, Avoid Heavy Lifting, Stay Hydrated"
Narcolepsy,"Chest Pain, Cough, Joint Pain","Rest, Avoid Junk Food, Take Medications, Wear a Mask","Balanced Diet, Hydrate Well","Meditation, Surya Namaskar, Strength Training","Avoid Heavy Lifting, Rest When Tired, Gradual Warm-Up"
Chronic Fatigue Syndrome,"Shortness of Breath, Cough, Chest Pain","Avoid Junk Food, Take Medications","Avoid Processed Food, Hydrate Well, High Fiber, Protein Rich","Deep Breathing, Mild Cardio, Stretching","Monitor Heart Rate, Rest When Tired"
Fibromyalgia,"Anxiety, Depression, Mood Swings, Irritability","Regular Checkups, Avoid Junk Food, Rest","Protein Rich, Balanced Diet, Vitamin D Rich","Pranayama, Surya Namaskar, Strength Training","Avoid Heavy Lifting, Gradual Warm-Up, Rest When Tired"
ALS (Lou Gehrig's Disease),"Chest Pain, Joint Pain, Nausea, Shortness of Breath, Fever","Drink Water, Take Medications, Exercise Regularly, Avoid Junk Food","Balanced Diet, Low Sugar","Strength Training, Surya Namaskar","Monitor Heart Rate, Avoid Heavy Lifting, Rest When Tired"
Spinal Muscular Atrophy,"Cough, Fatigue, Dizziness, Vomiting, Headache","Avoid Junk Food, Exercise Regularly, Rest","Balanced Diet, Vitamin D Rich, Hydrate Well","Stretching, Meditation, Pranayama","Avoid Heavy Lifting, Gradual Warm-Up"
Sickle Cell Disease,"Cough, Shortness of Breath, Chest Pain, Low Energy","Regular Checkups, Avoid Junk Food, Wear a Mask","Balanced Diet, High Fiber, Hydrate Well, Avoid Processed Food","Pranayama, Mild Cardio, Surya Namaskar","Avoid Heavy Lifting, Rest When Tired, Stay Hydrated"
Thalassemia,"Chest Pain, Joint Pain","Exercise Regularly, Regular Checkups","Avoid Processed Food, Balanced Diet","Meditation, Deep Breathing, Mild Cardio","Avoid Heavy Lifting, Gradual Warm-Up"
Hemophilia,"Memory Loss, Confusion, Difficulty Concentrating","Rest, Take Medications, Regular Checkups, Avoid Junk Food","Low Sugar, High Fiber, Hydrate Well","Mild Cardio, Meditation","Avoid Heavy Lifting, Rest When Tired"
Varicose Veins,"Dizziness, Vomiting, Cough","Rest, Exercise Regularly, Take Medications","Protein Rich, Avoid Processed Food","Deep Breathing, Pranayama, Surya Namaskar","Rest When Tired, Avoid Heavy Lifting"
Deep Vein Thrombosis,"Shortness of Breath, Vomiting, Headache, Nausea","Avoid Junk Food, Rest","Vitamin D Rich, Low Sugar, Avoid Processed Food, High Fiber","Deep Breathing, Meditation","Avoid Heavy Lifting, Stay Hydrated, Monitor Heart Rate"
Pulmonary Embolism,"Vomiting, Dizziness, Joint Pain, Fatigue","Drink Water, Exercise Regularly, Rest","Hydrate Well, Avoid Processed Food, Balanced Diet, Low Sugar","Stretching, Mild Cardio, Deep Breathing","Avoid Heavy Lifting, Gradual Warm-Up, Monitor Heart Rate"
Aortic Aneurysm,"Shortness of Breath, Fever, Headache","Exercise Regularly, Rest, Regular Checkups, Wear a Mask","Protein Rich, Balanced Diet, Low Sugar, Hydrate Well","Meditation, Pranayama, Mild Cardio","Avoid Heavy Lifting, Rest When Tired"
Peripheral Artery Disease,"Dizziness, Fatigue, Shortness of Breath","Wear a Mask, Regular Checkups, Drink Water","Vitamin D Rich, Protein Rich, Low Sugar","Surya Namaskar, Pranayama, Stretching","Gradual Warm-Up, Rest When Tired, Avoid Heavy Lifting"
Endometriosis,"Skin Rash, Swelling, Redness, Swollen Lymph Nodes","Regular Checkups, Avoid Junk Food","Hydrate Well, High Fiber, Low Sugar","Surya Namaskar, Pranayama","Gradual Warm-Up, Avoid Heavy Lifting"
PCOS,"Headache, Nausea, Sleep Disturbances, Loss of Appetite","Rest, Avoid Junk Food, Wear a Mask, Take Medications","Balanced Diet, Avoid Processed Food","Mild Cardio, Meditation, Surya Namaskar","Avoid Heavy Lifting, Rest When Tired, Stay Hydrated"
Menopause Symptoms,"Chronic Pain, Joint Pain, Nausea","Avoid Junk Food, Rest","Avoid Processed Food, Low Sugar, Balanced Diet","Strength Training, Deep Breathing, Surya Namaskar","Avoid Heavy Lifting, Monitor Heart Rate"
Prostatitis,"Fatigue, Shortness of Breath, Chest Pain, Vomiting","Rest, Wear a Mask","High Fiber, Low Sugar","Meditation, Strength Training, Mild Cardio","Avoid Heavy Lifting, Stay Hydrated, Monitor Heart Rate"
Benign Prostatic Hyperplasia,"Fatigue, Chest Pain, Shortness of Breath, Vomiting","Wear a Mask, Avoid Junk Food, Regular Checkups","Low Sugar, Avoid Processed Food, Protein Rich, Balanced Diet","Strength Training, Meditation, Surya Namaskar","Monitor Heart Rate, Stay Hydrated, Avoid Heavy Lifting"
Erectile Dysfunction,"Fever, Headache, Shortness of Breath","Regular Checkups, Wear a Mask, Drink Water, Exercise Regularly","Avoid Processed Food, Low Sugar, Vitamin D Rich","Mild Cardio, Stretching","Avoid Heavy Lifting, Rest When Tired, Monitor Heart Rate"
Infertility,"Headache, Joint Pain, Vomiting","Avoid Junk Food, Drink Water","Avoid Processed Food, High Fiber, Low Sugar","Surya Namaskar, Stretching, Meditation","Monitor Heart Rate, Rest When Tired, Stay Hydrated"
Pelvic Inflammatory Disease,"Fever, Vomiting","Regular Checkups, Rest","Protein Rich, High Fiber, Balanced Diet","Strength Training, Deep Breathing, Mild Cardio","Avoid Heavy Lifting, Monitor Heart Rate, Rest When Tired"
Bladder Infections,"Dizziness, Fatigue, Chest Pain, Vomiting, Fever","Exercise Regularly, Avoid Junk Food, Regular Checkups","Low Sugar, Avoid Processed Food","Strength Training, Mild Cardio, Surya Namaskar","Gradual Warm-Up, Stay Hydrated, Rest When Tired"
Kidney Stones,"Joint Pain, Nausea, Dizziness, Headache","Avoid Junk Food, Drink Water","High Fiber, Avoid Processed Food","Deep Breathing, Pranayama","Rest When Tired, Stay Hydrated"
Gallstones,"Fever, Chest Pain, Vomiting","Avoid Junk Food, Rest, Take Medications, Drink Water","Low Sugar, Vitamin D Rich, High Fiber, Avoid Processed Food","Deep Breathing, Meditation","Stay Hydrated, Avoid Heavy Lifting, Rest When Tired"
Appendicitis,"Fatigue, Joint Pain, Chest Pain","Rest, Exercise Regularly","Balanced Diet, High Fiber","Mild Cardio, Surya Namaskar","Monitor Heart Rate, Gradual Warm-Up"
Pancreatitis,"Heart Palpitations, Dizziness, Chest Discomfort, Blurred Vision","Avoid Junk Food, Wear a Mask","Protein Rich, Hydrate Well, Low Sugar, Balanced Diet","Deep Breathing, Meditation, Pranayama","Rest When Tired, Gradual Warm-Up"
Sepsis,"Fatigue, Nausea, Cough, Joint Pain","Exercise Regularly, Regular Checkups, Wear a Mask","Balanced Diet, Low Sugar, Vitamin D Rich","Meditation, Mild Cardio","Gradual Warm-Up, Monitor Heart Rate, Avoid Heavy Lifting"
MRSA Infection,"Headache, Cough, Vomiting, Fatigue, Fever","Wear a Mask, Exercise Regularly, Take Medications, Regular Checkups","Avoid Processed Food, Balanced Diet, Protein Rich","Strength Training, Stretching","Avoid Heavy Lifting, Gradual Warm-Up"
Lyme Disease,"Dizziness, Chest Discomfort, Sweating, Blurred Vision","Regular Checkups, Wear a Mask","Avoid Processed Food, Protein Rich","Stretching, Mild Cardio","Rest When Tired, Gradual Warm-Up, Monitor Heart Rate"
Rabies,"Fatigue, Joint Pain, Headache, Vomiting, Dizziness","Drink Water, Rest, Avoid Junk Food","Protein Rich, Avoid Processed Food, Vitamin D Rich","Deep Breathing, Strength Training","Monitor Heart Rate, Stay Hydrated"
Tetanus,"Fatigue, Nausea, Fever, Headache","Avoid Junk Food, Drink Water","High Fiber, Avoid Processed Food, Hydrate Well, Protein Rich","Deep Breathing, Strength Training, Mild Cardio","Avoid Heavy Lifting, Gradual Warm-Up"
Whooping Cough,"Cough, Fever, Fatigue","Avoid Junk Food, Take Medications","Avoid Processed Food, Balanced Diet","Deep Breathing, Meditation","Avoid Heavy Lifting, Stay Hydrated"
"Hand, Foot, and Mouth Disease","Chest Pain, Cough, Fatigue, Headache","Take Medications, Rest, Avoid Junk Food, Wear a Mask","Avoid Processed Food, Hydrate Well","Stretching, Deep Breathing","Stay Hydrated, Gradual Warm-Up, Monitor Heart Rate"
Polio,"Joint Pain, Fatigue, Nausea, Cough, Vomiting","Wear a Mask, Regular Checkups, Drink Water, Exercise Regularly","Vitamin D Rich, Hydrate Well, High Fiber","Stretching, Meditation, Deep Breathing","Stay Hydrated, Monitor Heart Rate"
Typhoid,"Shortness of Breath, Nausea, Fever","Take Medications, Drink Water, Wear a Mask","Low Sugar, High Fiber, Vitamin D Rich, Protein Rich","Strength Training, Deep Breathing, Surya Namaskar","Avoid Heavy Lifting, Rest When Tired, Stay Hydrated"
Leptospirosis,"Fatigue, Joint Pain, Mild Fever","Take Medications, Regular Checkups, Exercise Regularly, Wear a Mask","Vitamin D Rich, High Fiber, Avoid Processed Food","Pranayama, Stretching, Strength Training","Avoid Heavy Lifting, Gradual Warm-Up"
Zika Virus,"Shortness of Breath, Nausea, Joint Pain","Take Medications, Exercise Regularly","Balanced Diet, Hydrate Well, High Fiber, Low Sugar","Stretching, Surya Namaskar, Meditation","Stay Hydrated, Gradual Warm-Up, Monitor Heart Rate"
Chikungunya,"Fatigue, Joint Pain, Headache, Cough","Regular Checkups, Avoid Junk Food","Protein Rich, Avoid Processed Food, High Fiber, Balanced Diet","Meditation, Deep Breathing","Monitor Heart Rate, Stay Hydrated"
Ebola,"Cough, Vomiting, Chest Pain","Regular Checkups, Wear a Mask, Take Medications, Rest","Protein Rich, Vitamin D Rich, Low Sugar","Surya Namaskar, Pranayama, Strength Training","Rest When Tired, Gradual Warm-Up, Avoid Heavy Lifting"
Marburg Virus,"Chest Pain, Nausea, Fatigue, Fever","Wear a Mask, Drink Water, Rest, Take Medications","Avoid Processed Food, Balanced Diet, Hydrate Well","Strength Training, Surya Namaskar, Pranayama","Rest When Tired, Stay Hydrated"
Hantavirus,"Joint Pain, Vomiting","Exercise Regularly, Wear a Mask","High Fiber, Balanced Diet, Hydrate Well, Avoid Processed Food","Deep Breathing, Mild Cardio, Meditation","Stay Hydrated, Monitor Heart Rate"
Monkeypox,"Chest Pain, Fever, Joint Pain","Rest, Avoid Junk Food, Regular Checkups","High Fiber, Vitamin D Rich","Mild Cardio, Stretching","Stay Hydrated, Avoid Heavy Lifting, Gradual Warm-Up"
Bird Flu,"Nausea, Fatigue, Cough, Joint Pain","Regular Checkups, Wear a Mask, Take Medications","Low Sugar, Hydrate Well, High Fiber, Protein Rich","Mild Cardio, Stretching, Deep Breathing","Rest When Tired, Avoid Heavy Lifting, Stay Hydrated"
Swine Flu,"Fever, Joint Pain, Dizziness, Chest Pain, Nausea","Avoid Junk Food, Exercise Regularly, Rest","Low Sugar, Protein Rich, Avoid Processed Food, Balanced Diet","Deep Breathing, Mild Cardio, Stretching","Gradual Warm-Up, Stay Hydrated, Avoid Heavy Lifting"
Plague,"Fever, Vomiting, Fatigue","Drink Water, Avoid Junk Food, Exercise Regularly","High Fiber, Low Sugar, Hydrate Well","Meditation, Stretching, Deep Breathing","Gradual Warm-Up, Avoid Heavy Lifting"
Anthrax,"Nausea, Cough, Dizziness, Fever, Shortness of Breath","Avoid Junk Food, Drink Water","Protein Rich, Balanced Diet","Strength Training, Stretching, Meditation","Gradual Warm-Up, Avoid Heavy Lifting, Monitor Heart Rate"
Smallpox,"Fatigue, Cough, Vomiting, Nausea, Chest Pain","Regular Checkups, Drink Water","Avoid Processed Food, Protein Rich","Mild Cardio, Deep Breathing, Stretching","Avoid Heavy Lifting, Stay Hydrated, Rest When Tired"
Yellow Fever,"Dizziness, Fatigue, Cough, Shortness of Breath, Chest Pain","Rest, Exercise Regularly","Avoid Processed Food, Protein Rich","Stretching, Mild Cardio, Deep Breathing","Rest When Tired, Stay Hydrated"
Rocky Mountain Spotted Fever,"Headache, Shortness of Breath","Take Medications, Avoid Junk Food, Regular Checkups, Exercise Regularly","Avoid Processed Food, Protein Rich, High Fiber","Mild Cardio, Pranayama, Stretching","Rest When Tired, Stay Hydrated"
Q Fever,"Headache, Nausea, Fever, Joint Pain","Wear a Mask, Avoid Junk Food, Take Medications, Regular Checkups","High Fiber, Hydrate Well, Avoid Processed Food","Surya Namaskar, Deep Breathing","Rest When Tired, Avoid Heavy Lifting"
Brucellosis,"Cough, Vomiting, Shortness of Breath, Dizziness","Rest, Regular Checkups, Avoid Junk Food","Avoid Processed Food, Balanced Diet","Deep Breathing, Meditation","Gradual Warm-Up, Avoid Heavy Lifting"
Tularemia,"Fatigue, Cough, Vomiting, Chest Pain","Rest, Drink Water","Protein Rich, High Fiber, Avoid Processed Food, Low Sugar","Meditation, Deep Breathing, Surya Namaskar","Avoid Heavy Lifting, Gradual Warm-Up"
Botulism,"Headache, Joint Pain, Nausea","Drink Water, Exercise Regularly, Avoid Junk Food","Balanced Diet, Low Sugar, Protein Rich, Avoid Processed Food","Pranayama, Strength Training, Stretching","Rest When Tired, Stay Hydrated"
Diphtheria,"Headache, Nausea","Drink Water, Avoid Junk Food, Take Medications, Rest","High Fiber, Low Sugar, Avoid Processed Food, Vitamin D Rich","Surya Namaskar, Pranayama, Stretching","Avoid Heavy Lifting, Monitor Heart Rate, Stay Hydrated"
Legionnaires' Disease,"Fever, Dizziness, Nausea","Take Medications, Drink Water","Avoid Processed Food, High Fiber","Meditation, Pranayama","Rest When Tired, Monitor Heart Rate"
Nipah Virus,"Vomiting, Cough, Fatigue, Nausea","Rest, Wear a Mask, Drink Water, Regular Checkups","Low Sugar, Hydrate Well, Balanced Diet","Mild Cardio, Surya Namaskar","Stay Hydrated, Rest When Tired, Avoid Heavy Lifting"
Lassa Fever,"Fatigue, Joint Pain, Headache, Shortness of Breath","Avoid Junk Food, Drink Water, Wear a Mask","Balanced Diet, Hydrate Well, Vitamin D Rich","Pranayama, Surya Namaskar","Stay Hydrated, Rest When Tired, Gradual Warm-Up"
Dengue Hemorrhagic Fever,"Nausea, Chest Pain, Shortness of Breath, Fever","Wear a Mask, Take Medications","Hydrate Well, Balanced Diet, Vitamin D Rich","Stretching, Meditation","Monitor Heart Rate, Stay Hydrated, Rest When Tired"
