Exercise_Type,Exercise_Name,Video_Link,Intensity,Duration,Weight_Loss_Goal,Steps
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,16 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,18 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,20 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,2-3 min,2 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,2-3 min,4 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,6 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,8 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,10 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,5-6 min,12 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,5-6 min,14 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,16 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,18 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,20 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,2-3 min,2 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,2-3 min,4 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,6 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,8 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,3-5 min,10 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,5-6 min,12 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,5-6 min,14 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,16 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,18 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Running,https://www.youtube.com/watch?v=7VfjU4MYzHA,High,6-7 min,20 kg,"1. Start with a 5-minute warm-up walk.
2. Maintain an upright posture and relaxed shoulders.
3. Land on the middle of your foot and roll forward.
4. Breathe deeply and maintain a steady pace.
5. Cool down with a 5-minute walk."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,2-3 min,2 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,2-3 min,4 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,3-5 min,6 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,3-5 min,8 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,3-5 min,10 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,5-6 min,12 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,5-6 min,14 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,6-7 min,16 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,6-7 min,18 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Low,6-7 min,20 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,2-3 min,2 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,2-3 min,4 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,3-5 min,6 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,3-5 min,8 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,3-5 min,10 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,5-6 min,12 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,5-6 min,14 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,6-7 min,16 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,6-7 min,18 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,Medium,6-7 min,20 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,2 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,4 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,6 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,8 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,10 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,5-6 min,12 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,5-6 min,14 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,16 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,18 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,20 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,2 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,4 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,6 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,8 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,10 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,5-6 min,12 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,5-6 min,14 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,16 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,18 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,6-7 min,20 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,2 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,2-3 min,4 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,6 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,8 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,3-5 min,10 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
Cardio,Jump Rope,https://www.youtube.com/watch?v=1BZMUbR3sTY,High,5-6 min,12 kg,"1. Hold the handles of the jump rope firmly.
2. Swing the rope over your head and jump as it reaches your feet.
3. Land softly on your toes and keep your knees slightly bent.
4. Maintain a steady rhythm and control your breathing."
